date,series_name,value
11/05/2020,Seasonality_New Year's Day BH,0
18/05/2020,Seasonality_New Year's Day BH,0
25/05/2020,Seasonality_New Year's Day BH,0
01/06/2020,Seasonality_New Year's Day BH,0
08/06/2020,Seasonality_New Year's Day BH,0
15/06/2020,Seasonality_New Year's Day BH,0
22/06/2020,Seasonality_New Year's Day BH,0
29/06/2020,Seasonality_New Year's Day BH,0
06/07/2020,Seasonality_New Year's Day BH,0
13/07/2020,Seasonality_New Year's Day BH,0
20/07/2020,Seasonality_New Year's Day BH,0
27/07/2020,Seasonality_New Year's Day BH,0
03/08/2020,Seasonality_New Year's Day BH,0
10/08/2020,Seasonality_New Year's Day BH,0
17/08/2020,Seasonality_New Year's Day BH,0
24/08/2020,Seasonality_New Year's Day BH,0
31/08/2020,Seasonality_New Year's Day BH,0
07/09/2020,Seasonality_New Year's Day BH,0
14/09/2020,Seasonality_New Year's Day BH,0
21/09/2020,Seasonality_New Year's Day BH,0
28/09/2020,Seasonality_New Year's Day BH,0
05/10/2020,Seasonality_New Year's Day BH,0
12/10/2020,Seasonality_New Year's Day BH,0
19/10/2020,Seasonality_New Year's Day BH,0
26/10/2020,Seasonality_New Year's Day BH,0
02/11/2020,Seasonality_New Year's Day BH,0
09/11/2020,Seasonality_New Year's Day BH,0
16/11/2020,Seasonality_New Year's Day BH,0
23/11/2020,Seasonality_New Year's Day BH,0
30/11/2020,Seasonality_New Year's Day BH,0
07/12/2020,Seasonality_New Year's Day BH,0
14/12/2020,Seasonality_New Year's Day BH,0
21/12/2020,Seasonality_New Year's Day BH,0
28/12/2020,Seasonality_New Year's Day BH,1
04/01/2021,Seasonality_New Year's Day BH,0
11/01/2021,Seasonality_New Year's Day BH,0
18/01/2021,Seasonality_New Year's Day BH,0
25/01/2021,Seasonality_New Year's Day BH,0
01/02/2021,Seasonality_New Year's Day BH,0
08/02/2021,Seasonality_New Year's Day BH,0
15/02/2021,Seasonality_New Year's Day BH,0
22/02/2021,Seasonality_New Year's Day BH,0
01/03/2021,Seasonality_New Year's Day BH,0
08/03/2021,Seasonality_New Year's Day BH,0
15/03/2021,Seasonality_New Year's Day BH,0
22/03/2021,Seasonality_New Year's Day BH,0
29/03/2021,Seasonality_New Year's Day BH,0
05/04/2021,Seasonality_New Year's Day BH,0
12/04/2021,Seasonality_New Year's Day BH,0
19/04/2021,Seasonality_New Year's Day BH,0
26/04/2021,Seasonality_New Year's Day BH,0
03/05/2021,Seasonality_New Year's Day BH,0
10/05/2021,Seasonality_New Year's Day BH,0
17/05/2021,Seasonality_New Year's Day BH,0
24/05/2021,Seasonality_New Year's Day BH,0
31/05/2021,Seasonality_New Year's Day BH,0
07/06/2021,Seasonality_New Year's Day BH,0
14/06/2021,Seasonality_New Year's Day BH,0
21/06/2021,Seasonality_New Year's Day BH,0
28/06/2021,Seasonality_New Year's Day BH,0
05/07/2021,Seasonality_New Year's Day BH,0
12/07/2021,Seasonality_New Year's Day BH,0
19/07/2021,Seasonality_New Year's Day BH,0
26/07/2021,Seasonality_New Year's Day BH,0
02/08/2021,Seasonality_New Year's Day BH,0
09/08/2021,Seasonality_New Year's Day BH,0
16/08/2021,Seasonality_New Year's Day BH,0
23/08/2021,Seasonality_New Year's Day BH,0
30/08/2021,Seasonality_New Year's Day BH,0
06/09/2021,Seasonality_New Year's Day BH,0
13/09/2021,Seasonality_New Year's Day BH,0
20/09/2021,Seasonality_New Year's Day BH,0
27/09/2021,Seasonality_New Year's Day BH,0
04/10/2021,Seasonality_New Year's Day BH,0
11/10/2021,Seasonality_New Year's Day BH,0
18/10/2021,Seasonality_New Year's Day BH,0
25/10/2021,Seasonality_New Year's Day BH,0
01/11/2021,Seasonality_New Year's Day BH,0
08/11/2021,Seasonality_New Year's Day BH,0
15/11/2021,Seasonality_New Year's Day BH,0
22/11/2021,Seasonality_New Year's Day BH,0
29/11/2021,Seasonality_New Year's Day BH,0
06/12/2021,Seasonality_New Year's Day BH,0
13/12/2021,Seasonality_New Year's Day BH,0
20/12/2021,Seasonality_New Year's Day BH,0
27/12/2021,Seasonality_New Year's Day BH,1
03/01/2022,Seasonality_New Year's Day BH,0
10/01/2022,Seasonality_New Year's Day BH,0
17/01/2022,Seasonality_New Year's Day BH,0
24/01/2022,Seasonality_New Year's Day BH,0
31/01/2022,Seasonality_New Year's Day BH,0
07/02/2022,Seasonality_New Year's Day BH,0
14/02/2022,Seasonality_New Year's Day BH,0
21/02/2022,Seasonality_New Year's Day BH,0
28/02/2022,Seasonality_New Year's Day BH,0
07/03/2022,Seasonality_New Year's Day BH,0
14/03/2022,Seasonality_New Year's Day BH,0
21/03/2022,Seasonality_New Year's Day BH,0
28/03/2022,Seasonality_New Year's Day BH,0
04/04/2022,Seasonality_New Year's Day BH,0
11/04/2022,Seasonality_New Year's Day BH,0
18/04/2022,Seasonality_New Year's Day BH,0
25/04/2022,Seasonality_New Year's Day BH,0
02/05/2022,Seasonality_New Year's Day BH,0
09/05/2022,Seasonality_New Year's Day BH,0
16/05/2022,Seasonality_New Year's Day BH,0
23/05/2022,Seasonality_New Year's Day BH,0
30/05/2022,Seasonality_New Year's Day BH,0
06/06/2022,Seasonality_New Year's Day BH,0
13/06/2022,Seasonality_New Year's Day BH,0
20/06/2022,Seasonality_New Year's Day BH,0
27/06/2022,Seasonality_New Year's Day BH,0
04/07/2022,Seasonality_New Year's Day BH,0
11/07/2022,Seasonality_New Year's Day BH,0
18/07/2022,Seasonality_New Year's Day BH,0
25/07/2022,Seasonality_New Year's Day BH,0
01/08/2022,Seasonality_New Year's Day BH,0
08/08/2022,Seasonality_New Year's Day BH,0
15/08/2022,Seasonality_New Year's Day BH,0
22/08/2022,Seasonality_New Year's Day BH,0
29/08/2022,Seasonality_New Year's Day BH,0
05/09/2022,Seasonality_New Year's Day BH,0
12/09/2022,Seasonality_New Year's Day BH,0
19/09/2022,Seasonality_New Year's Day BH,0
26/09/2022,Seasonality_New Year's Day BH,0
03/10/2022,Seasonality_New Year's Day BH,0
10/10/2022,Seasonality_New Year's Day BH,0
17/10/2022,Seasonality_New Year's Day BH,0
24/10/2022,Seasonality_New Year's Day BH,0
31/10/2022,Seasonality_New Year's Day BH,0
07/11/2022,Seasonality_New Year's Day BH,0
14/11/2022,Seasonality_New Year's Day BH,0
21/11/2022,Seasonality_New Year's Day BH,0
